allBanksEver1,allBanksEver2,allBanksEver3,allBanksEver4,allBanksEver5,allBanksEver6,allBanksEver7,allBanksEver8,allBanksEver9,allBanksEver10
3010363,NaN,57074,BANKCDA,"1620 NORTHWEST BOULEVARD, BUILDING A ",COEUR D'ALENE,ID,83814,041,
3013823,NaN,57135,CRESCENT BANK,507 21ST AVENUE NORTH ,MYRTLE BEACH,SC,29577,041,
3015939,NaN,57295,"AMG/GUARANTY TRUST, NATIONAL ASSOCIATION",6200 SOUTH SYRACUSE WAY ,GREENWOOD VILLAGE,CO,80111,041,
3016347,NaN,57071,GEORGIA BANKING COMPANY,6190 POWERS FERRY ROAD SUITE 150,ATLANTA,GA,30339,041,
3017081,NaN,57093,NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY,611 EAST WISCONSIN AVENUE ,MILWAUKEE,WI,53202,041,
3017728,NaN,57197,BNC NATIONAL BANK,660 SOUTH MILL AVENUE ,TEMPE,AZ,85281,041,
3017737,NaN,57089,COTTAGE SAVINGS BANK,9813 MONTGOMERY ROAD ,MONTGOMERY,OH,45242,041,
3018538,NaN,57152,BANK OF THE SOUTH,551 NORTH MT. JULIET ROAD ,MOUNT JULIET,TN,37122,041,
3019058,NaN,57020,INSURBANC,10 EXECUTIVE DRIVE ,FARMINGTON,CT,06032,041,
3019982,NaN,57184,"FREEDOM BANK OF VIRGINIA, THE",502 MAPLE AVE WEST ,VIENNA,VA,22180,041,
3020193,NaN,57212,FIRST CHOICE BANK,2000 WEST STATE STREET ,GENEVA,IL,60134,041,
3020447,NaN,57335,FARMERS BANK,119 FIRST STREET ,AULT,CO,80610,041,
3020746,NaN,57223,INTERNATIONAL BANK,320 NORTH CONVENT STREET ,TRINIDAD,CO,81082,041,
3021435,NaN,57090,BOONE NATIONAL BANK,6100 FIRST FINANCIAL DRIVE ,BURLINGTON,KY,41005,041,
3022076,NaN,57131,BEACH COMMUNITY BANK,"17 EGLIN PARKWAY, S.E. ",FORT WALTON BEACH,FL,32548,041,
3022281,NaN,57168,FIRST BANK & TRUST,2200 W. ENNIS AVE. ,ENNIS,TX,75119,041,
3022610,NaN,57280,FLATIRONS BANK,5400 MT. MEEKER ,BOULDER,CO,80301,041,
3023493,NaN,57174,"AMERICAN HOME BANK, NATIONAL ASSOCIATION",805 ESTELLE DRIVE ,LANCASTER,PA,17601,041,
3023701,NaN,35434,SOUTHWESTUSA BANK,4043 SOUTH EASTERN AVENUE ,LAS VEGAS,NV,89119,041,
3025134,NaN,57113,"AMERICAN FOUNDERS BANK, INC.",201 LIMESTONE DRIVE ,FRANKFORT,KY,40604,041,
3025406,NaN,57086,"BRIDGE BANK OF SILICON VALLEY, NATIONAL ASSOCIATION",2120 EL CAMINO REAL ,SANTA CLARA,CA,95050,041,
3025929,NaN,57192,GOGEBIC RANGE BANK,300 SOUTH SOPHIE STREET ,BESSEMER,MI,49911,041,
3027053,NaN,57178,CAPITAL BANK,4138 CARMICHAEL ROAD ,MONTGOMERY,AL,36106,041,
3027174,NaN,57107,INTERSTATE NET BANK,457 HADDONFIELD ROAD SUITE 100,CHERRY HILL,NJ,08002,041,
3027763,NaN,57250,CORNERSTONE BANK,9120 WEST 135TH STREET ,OVERLAND PARK,KS,66221,041,
3028087,NaN,57130,"COMMUNITY BANK OF TEXAS, NATIONAL ASSOCIATION","1106 N HIGHWAY 360, SUITE 100 ",GRAND PRAIRIE,TX,75050,041,
3028902,NaN,57098,PREMIER VALLEY BANK,"8355 NORTH FRESNO STREET, SUITE 180 ",FRESNO,CA,93720,041,
3029253,NaN,57109,EVERENCE TRUST COMPANY,1110 NORTH MAIN STREET ,GOSHEN,IN,46528,041,
3029589,NaN,57244,CEDAR RAPIDS BANK AND TRUST COMPANY,625 FIRST STREET SOUTHEAST P O BOX 0789,CEDAR RAPIDS,IA,524060789,041,
3030697,NaN,57177,"REGENTS BANK, NATIONAL ASSOCIATION","875 PROSPECT STREET, SUITE 100 ",LA JOLLA,CA,92037,041,
3030969,NaN,57151,GEORGIAN BANK,3270 FLORENCE ROAD ,POWDER SPRINGS,GA,30127,041,
3032301,NaN,57202,"WARWICK COMMERCIAL BANK, THE",18 OAKLAND AVENUE ,WARWICK,NY,10990,041,
3032833,NaN,57363,CHEYENNE STATE BANK,101 W. 19TH STREET ,CHEYENNE,WY,82001,041,
3034257,NaN,57124,FIRST COMMUNITY BANK OF CENTRAL ALABAMA,572 SOUTH MAIN STREET ,WETUMPKA,AL,36092,041,
3034695,NaN,57162,MAIN STREET BANK CORP.,2001 MAIN STREET SUITE 100,WHEELING,WV,26003,041,
3035245,NaN,57172,CARDINAL STATE BANK,"3710 UNIVERSITY DRIVE, SUITE 100 ",DURHAM,NC,27707,041,
3035759,NaN,57187,LIVE OAK STATE BANK,3206 LIVE OAK ST ,DALLAS,TX,752046132,041,
3037874,NaN,57210,NEIGHBORHOOD NATIONAL BANK,803 N. NOKOMIS NE ,ALEXANDRIA,MN,56308,041,
3037904,NaN,57326,"MARQUETTE TRUST COMPANY OF SOUTH DAKOTA, NATIONAL ASSOCIATION",101 NORTH MAIN AVENUE SUITE 200,SIOUX FALLS,SD,57104,041,
3039636,NaN,57101,MISSION VALLEY BANK,9116 SUNLAND BOULEVARD ,SUN VALLEY,CA,91352,041,
3040379,NaN,57163,"CITIZENS FIRST BANK, INC.",601 WASHINGTON ST ,RAVENSWOOD,WV,26164,041,
3040418,NaN,57129,COMMUNITY FEDERAL SAVINGS BANK,89-07 JAMAICA AVENUE ,WOODHAVEN,NY,11421,041,
3041349,NaN,57263,SOUTHERN COLORADO NATIONAL BANK,3595 SPAULDING AVENUE ,PUEBLO,CO,81008,041,
3041358,NaN,57273,"FIRST COMMERCE BANK, NATIONAL ASSOCIATION",902 BROADWAY ,MARYSVILLE,KS,66508,041,
3041974,NaN,57282,CITIZENS BANK OF PENNSYLVANIA,1735 MARKET STREET ,PHILADELPHIA,PA,19103,041,
3041983,NaN,57281,CITIZENS BANK,919 NORTH MARKET STREET S200,WILMINGTON,DE,19801,041,
3042234,NaN,57102,"BANK OF BRENHAM, NATIONAL ASSOCIATION",401 S AUSTIN ,BRENHAM,TX,77834,041,
3042560,NaN,57262,"HARRINGTON BANK, FSB",5925 FARRINGTON ROAD ,CHAPEL HILL,NC,27517,041,
3043651,NaN,57289,SUMMIT BANK,"5314 SOUTH YALE, SUITE 100 ",TULSA,OK,74135,041,
3044500,NaN,57158,PARKWAY BANK,509 WILKESBORO BLVD NE ,LENOIR,NC,28645,041,
3044818,NaN,57296,CITIZENS NATIONAL BANK IN LOUP CITY,133 SOUTH 7TH PO BOX 624,LOUP CITY,NE,68853,041,
3045299,NaN,57303,TOWN & COUNTRY BANK,4707 WEST 135TH ,LEAWOOD,KS,66224,041,
3045383,NaN,57304,"VANGUARD NATIONAL TRUST COMPANY, NATIONAL ASSOCIATION",680 SWEDESFORD ROAD PO BOX 2600,VALLEY FORGE,PA,19482,041,
3047314,NaN,57251,"BANK OF SOUTHERN CONNECTICUT, THE",215 CHURCH STREET ,NEW HAVEN,CT,06510,041,
3047659,NaN,57095,SOUND BANKING COMPANY,5039 EXECUTIVE DR ,MOREHEAD CITY,NC,28557,041,
3048067,NaN,57147,PREMIER AMERICAN BANK,5900 BIRD ROAD ,MIAMI,FL,33155,041,
3048487,NaN,57298,1ST BANK YUMA,2799 SOUTH FOURTH AVENUE ,YUMA,AZ,85364,041,
3048861,NaN,57164,RIVERSIDE BANK OF CENTRAL FLORIDA,401 SOUTH SEMORAN BLVD ,WINTER PARK,FL,32792,041,
3048937,NaN,57189,UNION FEDERAL SAVINGS BANK,1565 MINERAL SPRING AVENUE ,NORTH PROVIDENCE,RI,02904,041,
3048982,NaN,57240,SEAWAY COMMUNITY BANK,1960 FRED MOORE HIGHWAY PO BOX 307,SAINT CLAIR,MI,48079,041,
3049514,NaN,57059,PREMIER SERVICE BANK,"3637 ARLINGTON AVENUE, SUITE B ",RIVERSIDE,CA,925063943,041,
3049635,NaN,57230,DOUGLAS NATIONAL BANK,211 EAST WARD STREET ,DOUGLAS,GA,31533,041,
3049653,NaN,57276,BANK OF LAS VEGAS,5961 DECATUR BOULEVARD ,LAS VEGAS,NV,89118,041,
3049699,NaN,57249,VENTURE BANK,5601 GREEN VALLEY DRIVE SUITE 120,BLOOMINGTON,MN,55437,041,
3049701,NaN,57260,NAPA COMMUNITY BANK,700 TRANCAS STREET ,NAPA,CA,94558,041,
3049729,NaN,57083,PLUS INTERNATIONAL BANK,"1000 BRICKELL AVENUE, SUITE 1100 ",MIAMI,FL,33131,041,
3051021,NaN,57239,FIRST SOUTHERN NATIONAL BANK,201 SOUTH MAIN STREET ,STATESBORO,GA,30458,041,
3051432,NaN,57254,FREEDOM NATIONAL BANK,584 PUTNAM PIKE ,GREENVILLE,RI,02864,041,
3052813,NaN,57176,"COMMERCEWEST BANK, NATIONAL ASSOCIATION",4685 MACARTHUR COURT ,NEWPORT BEACH,CA,92660,041,
3057818,NaN,35599,UNION CREDIT BANK,1150 SOUTH MIAMI AVENUE ,MIAMI,FL,33130,041,
3058114,NaN,57402,"COUNTRY CLUB TRUST COMPANY, NATIONAL ASSOCIATION",414 NICHOLDS ROAD ,KANSAS CITY,MO,64141,041,
3058329,NaN,57255,FREDERICK COUNTY BANK,30 WEST PATRICK STREET ,FREDERICK,MD,21701,041,
3058619,NaN,57302,CITY BANK NEW MEXICO,1096 MECHEM ,RUIDOSO,NM,883457067,041,
3058842,NaN,57219,PIEDMONT BANK OF GEORGIA,3423 PIEDMONT ROAD ,ATLANTA,GA,30305,041,
3066025,NaN,57337,"GOLDMAN SACHS TRUST COMPANY, THE NATIONAL ASSOCIATION",ONE NEW YORK PLAZA ,NEW YORK,NY,10004,041,
3066155,NaN,57331,"NEBRASKA BANKERS' BANK, NATIONAL ASSOCIATION",140 N. 8TH STREET #260 ,LINCOLN,NE,68508,041,
3067929,NaN,57312,TOWN & COUNTRY BANK,8626 WEST TROPICANA AVENUE ,LAS VEGAS,NV,89147,041,
3068579,NaN,57228,EMBASSY BANK FOR THE LEHIGH VALLEY,100 GATEWAY DRIVE ,BETHLEHEM,PA,18017,041,
3069343,NaN,57211,"BANK OF TALLAHASSEE, THE",3425-23 THOMASVILLE RD ,TALLAHASSEE,FL,32309,041,
3069660,NaN,57314,"CALNET BUSINESS BANK, NATIONAL ASSOCIATION",1565 EXPOSITION BOULEVARD ,SACRAMENTO,CA,95815,041,
3070545,NaN,57301,"UNITED COMMUNITY BANK OF WEST KENTUCKY, INC.",225 NORTH MORGAN STREET ,MORGANFIELD,KY,42437,041,
3071083,NaN,57246,PACIFIC INTERNATIONAL BANK,"1155 NORTH 130TH STREET, SUITE 100 ",SEATTLE,WA,98133,041,
3071391,NaN,57148,PROFESSIONAL BUSINESS BANK,"199 SOUTH LOS ROBLES AVENUE, SUITE 130 ",PASADENA,CA,91101,041,
3072053,NaN,57201,COMMONWEALTH NATIONAL BANK,41 SALEM STREET ,WORCESTER,MA,01608,041,
3072129,NaN,57261,FIRST NATIONAL BANK WEST METRO,1242 MARIETTA HIGHWAY ,DALLAS,GA,30157,041,
3073199,NaN,57231,"PREMIER COMMERCIAL BANK, NATIONAL ASSOCIATION","2400 EAST KATELLA AVENUE, SUITE 125 ",ANAHEIM,CA,92806,041,
3075278,NaN,57213,NEW SOUTHERN BANK,4077 FORSYTH ROAD ,MACON,GA,31210,041,
3075474,NaN,57252,FIRST CHATHAM BANK,7917 ABERCORN STREET ,SAVANNAH,GA,31406,041,
3076163,NaN,57271,PRIMETRUST BANK,7639 HWY 70 SOUTH ,BELLEVUE,TN,37221,041,
3076190,NaN,57096,"ROYAL PALM BANK OF FLORIDA, THE",1255 CREEKSIDE PARKWAY ,NAPLES,FL,34108,041,
3076220,NaN,57358,"BUSINESS BANK OF ST. LOUIS, THE",8000 MARYLAND AVENUE ,CLAYTON,MO,63105,041,
3076248,NaN,57311,FIRSTSERVICE BANK,9895 WATSON ROAD ,CRESTWOOD,MO,63126,041,
3076284,NaN,57120,UNITI BANK,"6301 BEACH BOULEVARD, SUITE 100 ",BUENA PARK,CA,90621,041,
3076453,NaN,57044,RAMONA NATIONAL BANK,1315 MAIN STREET ,RAMONA,CA,92065,041,
3076604,NaN,57269,"SIGNATURE BANK, NATIONAL ASSOCIATION",4607 WEST SYLVANIA AVE. ,TOLEDO,OH,43623,041,
3077629,NaN,57110,NEVADA SECURITY BANK,"465 SOUTH MEADOWS PARKWAY, SUITE 18 ",RENO,NV,89511,041,
3077937,NaN,57181,FIRST NATIONAL BANK OF BALDWIN COUNTY,1207 NORTH  MCKENZIE ST ,FOLEY,AL,36535,041,
3080852,NaN,57225,VOLKSWAGEN BANK USA,"5295 SOUTH 300 WEST, SUITE 500 ",SALT LAKE CITY,UT,84107,041,
3082052,NaN,57300,COMMUNITY BANK OF BROWARD,1991 STIRLING ROAD ,DANIA BEACH,FL,33004,041,
3083741,NaN,57017,FIRST BANK OF HENRY COUNTY,120 KEYS FERRY STREET ,MCDONOUGH,GA,30253,041,
3085240,NaN,57320,CITIZENS NATIONAL BANK,11407 WINDSOR BOULEVARD ,WINDSOR,VA,23487,041,
3086256,NaN,57145,"COMMUNITY BANK OF ORANGE, NATIONAL ASSOCIATION",643 ROUTE 211 EAST ,MIDDLETOWN,NY,10941,041,
3086265,NaN,57385,ALGER NATIONAL TRUST COMPANY,"78 HEADQUARTERS PLAZA, WEST TOWER ",MORRISTOWN,NJ,07960,041,
3089752,NaN,57405,"SECURIAN TRUST COMPANY, NATIONAL ASSOCIATION",1578 UNIVERSITY AVENUE WEST SUITE 200,SAINT PAUL,MN,55104,041,
3090310,NaN,57242,MADISON COUNTY BANK,129 EXECUTIVE DRIVE SUITE C,MADISON,MS,39110,041,
3090338,NaN,57215,PASCACK COMMUNITY BANK,36 JEFFERSON AVENUE ,WESTWOOD,NJ,07675,041,
3090833,NaN,57336,DRAKE BANK,60 PLATO BOULEVARD EAST ,SAINT PAUL,MN,55107,041,
3093964,NaN,57274,"GRAND BANK, NATIONAL ASSOCIATION",ONE EDINBURG ROAD ,HAMILTON,NJ,08619,041,
3095641,NaN,57422,"CB WEALTH MANAGEMENT, NATIONAL ASSOCIATION",328 SOUTH SAGINAW STREET ,FLINT,MI,485021943,041,
3097243,NaN,57453,PMI BANK,202 2ND AVE S SUITE 1,GREAT FALLS,MT,59405,041,
3101654,NaN,57407,"FAMILY CAPITAL TRUST COMPANY, NATIONAL ASSOCIATION",33 BROAD STREET ,BOSTON,MA,02109,041,
3101775,NaN,57364,PEOPLES BANK OF VIRGINIA,2702 NORTH PARHAM ROAD ,RICHMOND,VA,23294,041,
3102530,NaN,57342,PINNACLE BANK,"8880 SOUTHWEST NIMBUS AVENUE, SUITE D ",BEAVERTON,OR,970087111,041,
3102893,NaN,57167,WASHINGTON BUSINESS BANK,2607 MARTIN WAY ,OLYMPIA,WA,98506,041,
3103591,NaN,57391,"UNITED BANK & TRUST, NATIONAL ASSOCIATION",2101 SOUTH CENTER STREET ,MARSHALLTOWN,IA,50158,041,
3105308,NaN,57132,"EASTSIDE COMMERCIAL BANK, NATIONAL ASSOCIATION","3080 148TH AVENUE SOUTHEAST, SUITE 108 ",BELLEVUE,WA,98007,041,
3108907,NaN,57339,PROVIDENT MUNICIPAL BANK,400 RELLA BOULEVARD ,MONTEBELLO,NY,10927,041,
3109043,NaN,57368,"BANK OF NEW CANAAN, THE",156 CHERRY STREET ,NEW CANAAN,CT,06840,041,
3109146,NaN,57134,"LEADER BANK, NATIONAL ASSOCIATION",141 MASSACHUSETTS AVENUE ,ARLINGTON,MA,02474,041,
3109397,NaN,57355,CAROLINA NATIONAL BANK AND TRUST COMPANY,1350 MAIN STREET ,COLUMBIA,SC,29201,041,
3109584,NaN,57236,REGAL FINANCIAL BANK,"719 SECOND AVENUE, SUITE 801 ",SEATTLE,WA,98104,041,
3110188,NaN,57356,SOUTHERN COMMUNITY BANK OF SOUTH FLORIDA,1850 NORTH FEDERAL HIGHWAY ,BOCA RATON,FL,33432,041,
3110197,NaN,57348,SOUTHEAST BANK & TRUST,1878 SOUTH CONGRESS PARKWAY ,ATHENS,TN,37303,041,
3112070,NaN,57285,"RIGHT BANK FOR TEXAS, NATIONAL ASSOCIATION, THE",14181 NORTHWEST FREEWAY ,HOUSTON,TX,77040,041,
3115129,NaN,57105,"SOUTHBANK, N.A.",155 TOWNE LAKE PARKWAY ,WOODSTOCK,GA,30188,041,
3115277,NaN,57492,BERKSHIRE BANK,1101 WOODLAND ROAD ,WYOMISSING,PA,19610,041,
3116274,NaN,57360,BANK OF FLORIDA,110 EAST BROWARD BOULEVARD SUITE 100,FORT LAUDERDALE,FL,33301,041,
3116519,NaN,57359,AMERICAN EAGLE BANK,556 RANDALL ROAD ,SOUTH ELGIN,IL,60177,041,
3116809,NaN,57186,CENTRAL FLORIDA STATE BANK,11800 SOUTH U.S. HWY 441 ,BELLEVIEW,FL,34420,041,
3117431,NaN,57378,GRAND BANK,16660 DALLAS PARKWAY ,DALLAS,TX,75248,041,
3118447,NaN,57264,UNITED COMMERCIAL BANK,5660 NEW NORTHSIDE DRIVE SUITE 200,ATLANTA,GA,30328,041,
3119163,NaN,57436,COMMUNITY BANK OF WEST GEORGIA,662 HIGHWAY 61 ,VILLA RICA,GA,30180,041,
3119378,NaN,57315,"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",4100 DOUGLAS BOULEVARD ,GRANITE BAY,CA,95746,041,
3120039,NaN,26268,FIRST NATIONAL BANK OF STUTTGART,500 EAST 22ND STREET ,STUTTGART,AR,72160,041,
3120646,NaN,57416,PATRIOT BANK,8236 HIGHWAY 51 NORTH ,MILLINGTON,TN,38053,041,
3120897,NaN,57548,HERITAGE BANK,3024 S W WANAMAKER ,TOPEKA,KS,66614,041,
3121045,NaN,57345,COMMUNITY NATIONAL BANK,5123 BELLAIRE BLVD ,BELLAIRE,TX,77401,041,
3121072,NaN,57293,ENERBANK USA,"1245 EAST BRICKYARD ROAD, SUITE 100 ",SALT LAKE CITY,UT,84106,041,
3121081,NaN,57232,PCSB COMMERCIAL BANK,2477 ROUTE 6 ,BREWSTER,NY,105099806,041,
3121308,NaN,57395,COMMUNITY NATIONAL BANK,901 HIGHWAY 60 ,MONETT,MO,65708,041,
3122828,NaN,57214,INTERCONTINENTAL BANK,5722 SOUTHWEST 8TH STREET ,WEST MIAMI,FL,33144,041,
3122994,NaN,57425,SANIBEL CAPTIVA COMMUNITY BANK,2495 PALM RIDGE ROAD ,SANIBEL,FL,33957,041,
3123106,NaN,57399,MCINTOSH COMMERCIAL BANK,820 DIXIE STREET ,CARROLLTON,GA,30117,041,
3124149,NaN,57350,PORT CITY CAPITAL BANK,"1508 MILITARY CUTOFF RD, SUITE 100 ",WILMINGTON,NC,28403,041,
3125016,NaN,57332,MIRAE BANK,2140 WEST OLYMPIC BOULEVARD ,LOS ANGELES,CA,90006,041,
3125137,NaN,57259,"FRANKLIN COMMUNITY BANK, NATIONAL ASSOCIATION","400 OLD FRANKLIN TURNPIKE, SUITE 108 ",ROCKY MOUNT,VA,24151,041,
3125315,NaN,57420,HIGHLANDS COMMUNITY BANK,307 THACKER AVE ,COVINGTON,VA,24426,041,
3125557,NaN,57373,OREGON COAST BANK,909 SE BAY BOULEVARD ,NEWPORT,OR,97365,041,
3125566,NaN,57357,SECURITY BUSINESS BANK OF SAN DIEGO,"701 B STREET, SUITE 100 ",SAN DIEGO,CA,92101,041,
3128174,NaN,57362,PEOPLES BANK,5712 COLLEYVILLE BLVD. ,COLLEYVILLE,TX,76034,041,
3128914,NaN,57256,PIEDMONT COMMUNITY BANK,110 HIGHWAY 18 CONNECTOR ,GRAY,GA,31032,041,
3128923,NaN,57396,BANK OF LINCOLN COUNTY,307 EAST COLLEGE STREET ,FAYETTEVILLE,TN,37334,041,
3129902,NaN,57476,INDEPENDENT BANK OF TEXAS,4300 N BELTLINE RD ,IRVING,TX,750383501,041,
3130216,NaN,57191,NORTHWEST COMMERCIAL BANK,5726 100TH STREET SOUTHWEST ,LAKEWOOD,WA,984992730,041,
3130298,NaN,57352,GENERATIONS BANK,336 BLUE RIDGE STREET ,BLAIRSVILLE,GA,30512,041,
3130999,NaN,57036,COMMUNITY CAPITAL BANK,2270 MT. ZION ROAD ,JONESBORO,GA,30236,041,
3131400,NaN,57279,"COMMERCE BANK OF ARIZONA, INC.",3805 EAST BROADWAY ,TUCSON,AZ,85716,041,
3132667,NaN,57493,"MERCHANTS BANK, NATIONAL ASSOCIATION",316 MAIN STREET ,LA CRESCENT,MN,55947,041,
3133011,NaN,57055,ENTERPRISE BANK,490 KENILWORTH BOULEVARD ,KENILWORTH,NJ,07033,041,
3133253,NaN,57309,"BANK OF GOOCHLAND, NATIONAL ASSOCIATION",1900 MANAKIN ROAD ,MANAKIN-SABOT,VA,23103,041,
3133570,NaN,57477,EAGLE COMMUNITY BANK,16338 COUNTY ROAD 30 ,MAPLE GROVE,MN,55311,041,
3134250,NaN,57401,SUMMIT COMMUNITY BANK,2200 COOLIDGE ROAD SUITE 17,EAST LANSING,MI,48823,041,
3134399,NaN,57495,CAPITAL BANK OF TEXAS,200 N 5TH ST ,CARRIZO SPRINGS,TX,788343104,041,
3134698,NaN,57491,BANK OF COMMERCE,1601 WEST COMMERCE ,DUNCAN,OK,73553,041,
3134885,NaN,57442,SUMMIT BANK,122 NORTH CORTEZ ,PRESCOTT,AZ,86301,041,
3135097,NaN,57431,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",16610 I-45 ,THE WOODLANDS,TX,77384,041,
3135109,NaN,57324,LANDMARK NATIONAL BANK,937 LOMAS SANTA FE DRIVE ,SOLANA BEACH,CA,92075,041,
3138146,NaN,57512,ALLIANCE BANK OF ARIZONA,"4646 EAST VAN BUREN STREET, SUITE 100 ",PHOENIX,AZ,85008,041,
3138182,NaN,57508,NEW WEST BANK,3459 WEST 20TH STREET ,GREELEY,CO,80634,041,
3139321,NaN,57468,COMMUNITY BANK OWATONNA,640 BRIDGE STREET ,OWATONNA,MN,55060,041,
3140260,NaN,57486,LANIER COMMUNITY BANK,4356 SOUTH LEE STREET ,BUFORD,GA,30518,041,
3140309,NaN,57534,WEST ONE BANK,222 W. IDAHO ,KALISPELL,MT,59901,041,
3140822,NaN,57505,LIBERTY NATIONAL BANK,4425 SINGING HILLS BOULEVARD ,SIOUX CITY,IA,511069707,041,
3141726,NaN,57415,FIRST NATIONAL BANK OF LEXINGTON,2405 SIR BARTON WAY ,LEXINGTON,KY,40509,041,
3142358,NaN,57484,"BANKERS TRUST COMPANY, NATIONAL ASSOCIATION",221 THIRD AVENUE S E ,CEDAR RAPIDS,IA,52401,041,
3143805,NaN,57065,"PACIFIC COMMERCE BANK, NATIONAL ASSOCIATION",408 EAST SECOND STREET ,LOS ANGELES,CA,90012,041,
3145162,NaN,57275,GATEWAY COMMUNITY BANK,5306 WILLIAMS DRIVE ,ROSCOE,IL,61073,041,
3145797,NaN,57377,YORK TRADITIONS BANK,235 SAINT CHARLES WAY ,YORK,PA,17402,041,
3145984,NaN,57497,PATHFINDER COMMERCIAL BANK,214 WEST FIRST STREET ,OSWEGO,NY,13126,041,
3146150,NaN,57369,U.S. CENTURY BANK,7575 WEST FLAGLER STREET ,MIAMI,FL,33144,041,
3148033,NaN,57531,"GRAND MOUNTAIN BANK, FSB",337 EAST AGATE AVENUE ,GRANBY,CO,80446,041,
3148613,NaN,57429,COMMERCE NATIONAL BANK OF FLORIDA,"1201 SOUTH ORLANDO AVENUE, SUITE 100 ",WINTER PARK,FL,32789,041,
3149012,NaN,57479,"BILTMORE BANK OF ARIZONA, THE",5055 NORTH 32ND STREET ,PHOENIX,AZ,85018,041,
3150205,NaN,57414,WORTHINGTON NATIONAL BANK,200 W MAIN ST ,ARLINGTON,TX,76010,041,
3150335,NaN,3839,FIRST NATIONAL BANK OF SUMNER THE -RETAINED CHARTER,4368 NORTH HOLLY ROAD ,OLNEY,IL,62450,041,
3150447,NaN,57450,"CHARLES SCHWAB BANK, NATIONAL ASSOCIATION","5190 NEIL ROAD, SUITE 300 ",RENO,NV,89502,041,
3150474,NaN,57430,NEIGHBORS BANK,2440 OLD MILTON PARKWAY ,ALPHARETTA,GA,30004,041,
3150586,NaN,57525,RIVERVIEW COMMUNITY BANK,9040 QUADAY AVENUE NORTHEAST SUITE 100,OTSEGO,MN,55330,041,
3151060,NaN,57474,HUDSON RIVER COMMERCIAL BANK,75 REMSEN STREET ,COHOES,NY,12047,041,
3151417,NaN,57581,MAPLE BANK,11660 THEATRE DRIVE NORTH ,CHAMPLIN,MN,55316,041,
3151837,NaN,57475,CONNECTICUT RIVER COMMUNITY BANK,1142 SILAS DEANE HIGHWAY ,WETHERSFIELD,CT,06109,041,
3153233,NaN,57488,METROPOLITAN CAPITAL BANK,9 EAST ONTARIO STREET ,CHICAGO,IL,60611,041,
3153288,NaN,57487,SUFFOLKFIRST BANK,100 BOSLEY AVE ,SUFFOLK,VA,23434,041,
3153297,NaN,57465,FIRST COMMERCE BANK,701 CORNERSVILLE ROAD ,LEWISBURG,TN,37091,041,
3153345,NaN,57277,VICTORY COMMUNITY BANK,2500 CHAMBER CENTER DR. SUITE 100,FORT MITCHELL,KY,41017,041,
3153626,NaN,57448,FIRST COMMERCE COMMUNITY BANK,9464 HIGHWAY 5 ,DOUGLASVILLE,GA,30135,041,
3154780,NaN,57411,HORIZON COMMUNITY BANK,225 NORTH LAKE HAVASU AVENUE ,LAKE HAVASU CITY,AZ,86403,041,
3155134,NaN,57437,"LEGACY BANK, NATIONAL ASSOCIATION","1020 PROSPECT STREET, SUITE 100 ",LA JOLLA,CA,920370068,041,
3156122,NaN,57499,MARINERBANK,2313 EAST SIMS WAY ,PORT TOWNSEND,WA,98368,041,
3156300,NaN,57507,MOUNTAIN STATE BANK,671 LUMPKIN CAMPGROUND ROAD SUITE 200,DAWSONVILLE,GA,30534,041,
3157183,NaN,57338,"ORANGE COUNTY BUSINESS BANK, NATIONAL ASSOCIATION","4675 MACARTHUR COURT, SUITE 100 ",NEWPORT BEACH,CA,92660,041,
3157697,NaN,57573,"MERCHANTS TRUST COMPANY, NATIONAL ASSOCIATION",200 EAST JACKSON STREET ,MUNCIE,IN,47305,041,
3158005,NaN,57558,FREEDOM BANK OF GEORGIA,3165 MAYSVILLE ROAD ,COMMERCE,GA,30529,041,
3158546,NaN,57607,FIRST WESTERN TRUST BANK,"1200 SEVENTEENTH STREET, SUITE 2650 ",DENVER,CO,80202,041,
3158863,NaN,57386,"BANK OF VENICE, THE",240 NOKOMIS AVENUE SOUTH ,VENICE,FL,34285,041,
3160978,NaN,57587,INTEGRITY BANK & TRUST,1430 CIPRIANI LOOP ,MONUMENT,CO,80132,041,
3161144,NaN,57447,UNITED AMERICAN BANK,"101 SOUTH ELLSWORTH AVENUE, SUITE 110 ",SAN MATEO,CA,94402,041,
3161993,NaN,57469,CHOICE BANK,15190 NORTH HAYDEN ROAD ,SCOTTSDALE,AZ,85260,041,
3162767,NaN,57366,MWABANK,1701 1ST AVENUE ,ROCK ISLAND,IL,61201,041,
3165320,NaN,57521,GEORGIA COMMERCE BANK,3625 CUMBERLAND BOULEVARD S.E. BUILDING 2,ATLANTA,GA,30339,041,
3165357,NaN,57511,COMMUNITY FIRST BANK OF HOWARD COUNTY,201 WEST SYCAMORE STREET ,KOKOMO,IN,46901,041,
3165599,NaN,57498,COUNTRY BANK,107 EAST WILLIS STREET ,PRESCOTT,AZ,86301,041,
3166699,NaN,57522,TOLLESON PRIVATE BANK,"5500 PRESTON RD, STE B ",DALLAS,TX,75205,041,
